Name,Team,Pos,VOR2,Points,Ceiling,Floor,AAV,Risk,Image
Giants,NYG,DST,-16.33219888,60.63251887,68.28664773,51.0722085,NA,4.079337574,
Eric Ebron,IND,TE,-16.60437472,132.1014631,153.9887888,89.90089171,0,5.035358327,
Randall Cobb,GB,WR,-16.85791911,175.6869718,194.1695302,144.3407819,4.5,3.785175204,
Vance McDonald,PIT,TE,-17.04714061,131.6586973,147.4514216,96.4293446,NA,4.449643177,
David Njoku,CLE,TE,-17.16681187,131.539026,148.1250343,81.814,2.2,4.684522853,
Carlos Hyde,CLE,RB,-17.24524511,163.7519745,187.4806579,139.9450707,2.6,4.998578705,
Sterling Shepard,NYG,WR,-17.46356282,175.0813281,190.6142539,137.592213,2.2,3.632913737,
Sebastian Janikowski,SEA,K,-17.5095116,108.2647446,121.2180875,61.5,NA,4.522123487,
Jared Cook,OAK,TE,-18.52399716,130.1818407,139.6522973,110.6158085,1.5,3.831031926,
Jordy Nelson,OAK,WR,-18.58118849,173.9637024,202.7538194,128.59,3.1,3.722479306,
Nelson Agholor,PHI,WR,-18.65529784,173.889593,194.3993302,137.5122085,1.5,3.588130953,
Cody Parkey,CHI,K,-18.88014241,106.8941138,117.7713124,83.2,NA,5.071272982,
Tarik Cohen,CHI,RB,-19.07184577,161.9253739,189.0521275,133.061,2.8,4.741654022,
Cameron Brate,TB,TE,-19.40297836,129.3028595,147.5066481,102.5340935,1.4,4.204944496,
Ronald Jones,TB,RB,-19.48621727,161.5110024,214.9866113,102.1897406,10.1,7.798269253,
Brandon McManus,DEN,K,-19.53452495,106.2397312,118.4676414,92.66,NA,4.884671716,
Phil Dawson,ARI,K,-19.59879786,106.1754583,115.6771976,93,NA,4.476769783,
Chandler Catanzaro,TB,K,-19.69428826,106.0799679,120.254409,91.11385331,NA,4.66281861,
Randy Bullock,CIN,K,-19.91357372,105.8606825,116.3207052,85.1,NA,4.31869115,
Jason Sanders,MIA,K,-20.73766851,105.0365877,119.7661542,90.23725138,NA,3.955021592,
Will Fuller,HOU,WR,-20.83897723,171.7059137,220.0730642,130.7512717,4.9,3.525435055,
Marlon Mack,IND,RB,-20.8854963,160.1117233,181.4459721,126.6599312,2.7,4.748203885,
Dustin Hopkins,WAS,K,-21.33012065,104.4441355,119.1733,79.32239727,NA,5.173185663,
Raiders,OAK,DST,-21.44806971,55.51664804,70.02900357,35.90260631,NA,4.616941524,
Kenny Stills,MIA,WR,-21.49245593,171.052435,193.270202,146.329,1.4,3.731435863,
Mitchell Trubisky,CHI,QB,-21.54211255,272.2194509,308.2891578,226.78,2,5.689752408,
49ers,SF,DST,-21.717868,55.24684976,67.64906275,45.55272657,NA,3.485885564,
Charles Clay,BUF,TE,-22.29952696,126.4063109,136.9147163,109.2822085,1.2,3.690735254,
Jamaal Williams,GB,RB,-23.5788319,157.4183877,194.8063746,123.5438539,2.1,5.742223225,
Austin Seferian-Jenkins,JAC,TE,-23.9173687,124.7884692,149.5133444,98.96307546,0,4.757446113,
Kaimi Fairbairn,HOU,K,-24.34422605,101.4300301,111.6064189,64.9,NA,5.001815049,
Tyler Eifert,CIN,TE,-24.50470882,124.2011291,145.8440195,94.8,1.4,4.570325629,
Browns,CLE,DST,-24.81763737,52.14708038,61.85609815,27.40949246,NA,6.74885989,
Jets,NYJ,DST,-25.44554501,51.51917274,74.33120278,21.82897119,NA,7.582396037,
Benjamin Watson,NO,TE,-25.8806081,122.8252298,145.4916267,93.04026063,1.3,4.718768036,
Caleb Sturgis,LAC,K,-25.96332501,99.81093117,111.2822441,56.6,NA,5.997118559,
Daniel Carlson,MIN,K,-26.49492104,99.27933515,126.2237242,-15.9,1.3,7.246184211,
Isaiah Crowell,NYJ,RB,-26.6125488,154.3846708,168.7890013,127.1646427,4.5,4.456846487,
O.J. Howard,TB,TE,-27.13782218,121.5680157,143.9345038,98.18,1.6,4.481286354,
Kerryon Johnson,DET,RB,-28.0118113,152.9854083,181.9249763,104.58,3.6,5.852441114,
Aldrick Rosas,NYG,K,-28.40916983,97.36508636,114.5816975,69.5,NA,4.497879313,
Sony Michel,NE,RB,-28.45268703,152.5445326,206.8505305,76.553,5.9,7.752494007,
DeSean Jackson,TB,WR,-28.60144703,163.9434439,183.2015186,144.1899909,1.3,3.821001432,
Austin Hooper,ATL,TE,-28.86058216,119.8452557,140.3960237,98.0422085,0,4.4455635,
Colts,IND,DST,-29.69602299,47.26869477,67.40636919,20.22013715,NA,3.01852841,
Mohamed Sanu,ATL,WR,-29.76403854,162.7808523,172.2437659,152.0155135,1.3,3.829957989,
Zane Gonzalez,CLE,K,-29.96582347,95.80843271,111.1915022,68.6,NA,4.604015682,
Ricky Seals-Jones,ARI,TE,-31.69280056,117.0130373,144.5596022,102.8,NA,4.385200189,
Josh Doctson,WAS,WR,-32.12271401,160.4221769,188.0849391,130.8430195,1.3,3.847871103,
Kelvin Benjamin,BUF,WR,-34.24476612,158.3001248,192.080524,111.642524,2.8,3.62395718,
James White,NE,RB,-34.85513333,146.1420863,173.2783797,125.2953799,1.3,4.772458596,
Kenny Golladay,DET,WR,-37.70758099,154.8373099,173.250652,125.7478656,1.2,3.776218647,
Ted Ginn,NO,WR,-37.7445949,154.800296,184.1759892,132.0859246,NA,3.821001432,
Tyrell Williams,LAC,WR,-38.23233694,154.3125539,168.3103022,123.9284017,NA,3.901610444,
Hayden Hurst,BAL,TE,-38.74454686,109.961291,128.5486754,79.52419749,NA,5.456909924,
